Title,AppleTV,AmazonPrime,RT_Link,RT_Score
The Grand Budapest Hotel,https://tv.apple.com/us/movie/the-grand-budapest-hotel/umc.cmc.1yrchfyt6pyg3g827zdo6br38,https://www.primevideo.com/detail/The-Grand-Budapest-Hotel/0TCK7Z07H14X6HUD038936DI8L,https://www.rottentomatoes.com/m/the_grand_budapest_hotel,92
Moonrise Kingdom,https://tv.apple.com/us/movie/moonrise-kingdom/umc.cmc.1vqsgnnt5f0jcvvt0g1wfi8un,https://www.amazon.com/gp/video/detail/B00BR1D1AM/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B009HXGD4S&qid=1754676934918,https://www.rottentomatoes.com/m/moonrise_kingdom,93
The Royal Tenenbaums,https://tv.apple.com/us/movie/the-royal-tenenbaums/umc.cmc.65yeakwroumrkncyvtxumnyem,https://www.amazon.com/gp/video/search?phrase=the+royal+tenenbaums&k=the+royal+tenenbaums&ref=atv_rs_redirect,https://www.rottentomatoes.com/m/the_royal_tenenbaums,81
Inception,https://tv.apple.com/us/movie/inception/umc.cmc.6loas01ow0w4lkatxxloz7a6e,https://www.amazon.com/gp/video/detail/B00BUBR3UI/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0047WJ11G&qid=1754677129860,https://www.rottentomatoes.com/m/inception,87
Interstellar,https://tv.apple.com/us/movie/interstellar/umc.cmc.1vrwat5k1ucm5k42q97ioqyq3,https://www.amazon.com/gp/video/detail/B00TU9UJ9E/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B00TU9UFTS&qid=1754677237459,https://www.rottentomatoes.com/m/interstellar_2014,73
The Dark Knight,https://tv.apple.com/us/movie/the-dark-knight/umc.cmc.1uf4c3neuc9yxhnjv7t4rd5wa,https://www.amazon.com/gp/video/detail/B0BR1P5KD7/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0B6PKFVHR&qid=1754677378110,https://www.rottentomatoes.com/m/the_dark_knight,94
The Irishman,https://tv.apple.com/us/movie/the-irishman/umc.cmc.51kl95fysvmqt9nlanaj5sx2e,,https://www.rottentomatoes.com/m/the_irishman,95
The Wolf of Wall Street,https://tv.apple.com/us/movie/the-wolf-of-wall-street/umc.cmc.2tmr7hr6xnw1buspmujtvb9ep,https://www.amazon.com/gp/video/detail/B0D3FJ73L1/ref=atv_sr_fle_c_srda4994_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0D3F9D2CD&qid=1754677732065,https://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013,79
Shutter Island,https://tv.apple.com/us/movie/shutter-island/umc.cmc.1n432wlu275a0640043zypfsj,https://www.amazon.com/gp/video/detail/B00D5TFPYY/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B009CF6NFK&qid=1754677809153,https://www.rottentomatoes.com/m/1198124-shutter_island,69
Nomadland,https://tv.apple.com/us/movie/nomadland/umc.cmc.6vwzl6aa6vi63zt7vhblvbeum,https://www.amazon.com/gp/video/detail/B091S1HWGF/ref=atv_sr_fle_c_sr4e8ffb_1_1_1?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B091RK6HWZ&qid=1754677885812,https://www.rottentomatoes.com/m/nomadland,93
